filename,detected_title_metadata,detected_text_snippet
2020_FarzanehJSP.pdf,,
2020_Linda.pdf,EM-JETJ200001 1..13,"Eld erl and care per sonne exper ien ces rob oti shower Charlotte Bäccman, Linda Bergkvist and Per Kristensson Abstract Purpose The pur thi udy plo the exp ect ati exp eri ces reg din bot er, fro per tiv"
2021_2_AnderssonLindskog.pdf,A9RB633.eps,"Balancing between stability and change Agile teams Carin Lindskog Department Information Systems, Karlstad University, Karlstad, Sweden, and Johan Netz Department Business Administration, Karlstad University, Karlstad, S"
2021_AlaSarah.pdf,Untitled,"Communicating  Privacy  and  Utility  Benefits  and radeof When  discussing  trust  in  the  data  analysis  service,  estig ated  participants' opinions  on  pro viding  dif ferent trust  statements.  The  irst  stateme"
2021_AnderssonLindskog.pdf,Ambidexterity in Agile software development: a conceptual paper,"Ambidexterity Agile software development: conceptual paper Carin Lindskog and Monika Magnu sson Information Systems, Karlstad University, Karlstad, Sweden Abstract Purpose The purpose this study apply the concept organiz"
2021_FarzanehKaneJSP.pdf,An evaluation of three designs to engage users when providing their consent on smartphones,"evaluation three designs engage users when providing their consent smartphones Daniel Lindegren Farzane Karegar Bridget Kane and John S\366ren Pettersson Information Systems, Karlstad University, Karlstad, Sweden; Comput"
2021_Kane.pdf,,ttps://doi.or g/10.1007/s10278-021-00446-1 ORIGINAL APER A Q ualita tiv e A naly sis oftheNeeds andExperienc es ofHospital-based  Clinicians whenA essing Medic al I maging éanC onin þÿ \n · BridgetK ane · G vin
2022_2_Gustavsson.pdf,Changes to team autonomy in large-scale software development: a multiple case study of Scaled Agile Framework (SAFe\,
2022_Ahlin.pdf,,
2022_Akhona.pdf,Perspectives on record-keeping practices in MDT meetings and meeting record utility,
2022_AnderssonLindskog.pdf,,
2022_Gustavsson.pdf,SMR_Logo.eps,"REVIE ICLE The Pandora's box cial, proces and peopl debts software enginee ring Muhammad Ovais Ahmad Tomas Gustavsson Departme Computer Scien ce, Karlst Universit Karlst ad, Sweden Karlstad Busine Sch ool, Karlst Univers"
2022_Kane.pdf,Editorial: Personalized Digital Health and Patient-Centric Services,
2022_X4_Kane.pdf,crossmark_square.pdf,"pro iders lik for xample, mpro access care, wer healthcare osts, reduced risk infection both patients healthcare viders medical students rogress heir careers, the will undoubtedly encounter telemedicine their ractice. th"
2023_2_Ahlin.pdf,,
2023_2_Gustavsson.pdf,Microsoft Word - IJASM j.title 04-01-23.doc,
2023_2_Kane.pdf, Global Virtual Team Working during the Covid-19 Pandemic,GVTs
2023_Ahlin.pdf,Microsoft Word - lifsci17v9n12_copyright.doc,
2023_AlaSarahAkhona.pdf,Untitled,"Ludvigsson  The  irst  eight  months  of  Sweden©s  VID-19  strate gy  and  the  actions  and  actors  that  were  olv ed. Acta  aediatr  Dec  FREE  Full  [doi:  10.1111/apa.15582 [Medline:  Orlo wski  EJ,  Goldsmith  DJ"
2023_Broden.pdf,\376\377\0001\0000\000.\0001\0001\0006\0004\0008\000.\000j\000.\000h\000e\000p\000.\0002\0000\0002\0003\0000\0008\0000\0004\000.\0001\0001,
2023_Gustavsson.pdf,Identifying and Categorizing Challenges in Large-Scale Agile Software Development Projects: Insights from Two Swedish Companies,
2023_Kane.pdf,Untitled,
2023_Linda.pdf,Untitled,
2023_X2_Kane.pdf,Untitled,
2023_X3_Kane.pdf,Untitled,
2023_X_Ahlin.pdf,,
2023_X_Kane.pdf,Untitled,
2024_1_Gustavsson.pdf,,
2024_1_Kane.pdf,Untitled,
2024_2_Gustavsson.pdf,Navigating social debt and its link with technical debt in large-scale agile software development projects,
2024_2_Kane.pdf,Affordance trajectories and the usefulness of online records access among older adults in Sweden,
2024_3_Kane.pdf,"﻿Experiences from patients in mental healthcare accessing their electronic health records: results from a cross-national survey in Estonia, Finland, Norway, and Sweden",
2024_4_Kane.pdf,Hcross_10 mm_3C.eps,"Origin article Security and Priv acy Online ecor Acc ess: olesc ents Vie and Experiences eden Jose Hagstr\366m, M.Sc. ose-Mharie \305hlfeldt, Ph.D. Charl Blease, Ph.D. \305sa jander Ph.D. Hanife xhepi, Ph.D. Jonas Moll, "
2024_5_Kane.pdf,Untitled,
2024_AlaSarahJSP.pdf,IJTME Special Edition for the TIME Conference,
2024_BergkvistJohanssonBroden.pdf,,
2024_Broden.pdf,"The Requirements, Benefits, and Barriers of IoT Solutions to Support Well-Being in Elementary Schools",
2025_1_Gustavsson.pdf,Job satisfaction at risk: Measuring the role of process debt in agile software development,
2025_1_Jasper.pdf,On the move: understanding passenger experience and journey integration in multimodal travel at Europes airports,
2025_2_Gustavsson.pdf,It all starts with structure: investigating learning dynamics in large-scale agile software development,
2025_2_Jasper.pdf,Tensions in air and rail integration based on a European longitudinal case study with stakeholders,
2026_Jasper.pdf,Key factors and delivery mechanisms for passenger-oriented multimodal air journeys: A European practitioners' perspective,
2026_Sana.pdf,Education and poverty: The case of street-children in urban areas of Pakistan,
